Lat,Lon,water_depth
28.7204017276828,-82.7422193932341,-29.8913997445669
28.7204338067975,-82.7422229506827,-29.978670693031
28.7205161389376,-82.7422322466936,-29.8227500512098
28.7205541323033,-82.7422365440086,-29.7533492476985
28.7205670328801,-82.7422379707699,-29.8164993413621
28.7205673838811,-82.7422379608011,-29.9446260902379
28.720611651036,-82.7422429827129,-29.8444738996586
28.72065582962,-82.7422480118732,-29.713514842985
28.7207135740996,-82.7422544569009,-29.8914979023766
28.7207261590043,-82.7422558969152,-29.8410071320694
28.7207328723595,-82.7422566050619,-29.9694226598185
28.7207580911843,-82.7422594845243,-29.8868290744908
28.7208090472934,-82.7422652311706,-29.9109698451249
28.7208407066046,-82.7422688295538,-29.8570009267886
28.7208535815408,-82.7422702631892,-29.9122857099118
28.7208786898111,-82.7422731490034,-29.788415247641
28.7208791187944,-82.7422731368199,-29.9450087592436
28.7209175965954,-82.7422774429912,-30.0560975583293
28.7209427482455,-82.7422803282343,-29.9469292094717
28.7209490927995,-82.742281047954,-29.9402218592305
28.7209808217034,-82.7422846460041,-29.9093481323406
28.720987592283,-82.742285353625,-30.0578999364323
28.7209934395754,-82.7422860874627,-29.869372893925
28.7210128541933,-82.7422882357433,-29.9871121410231
28.7210190725766,-82.7422889590136,-29.9338189374196
28.7210191317727,-82.7422889573324,-29.9554275588962
28.7210317031595,-82.7422903999967,-29.8978737993372
28.7210512508779,-82.7422925442604,-30.0632288318059
28.7210765278509,-82.7422954253407,-29.9957100693869
28.7211717344797,-82.7423062131539,-29.8857265959937
28.7212417770462,-82.7423141115375,-29.8764785619447
28.7212738032715,-82.7423176943859,-29.9371491411282
28.7213249284255,-82.7423234269226,-29.9869684652293
28.7213372185462,-82.7423248733779,-29.819049987262
28.7213949165063,-82.7423314061121,-29.9924410378902
28.7214012675495,-82.7423321153782,-29.9787375585694
28.7214136900815,-82.7423335421476,-29.8475665400686
28.7214268214712,-82.7423349483485,-29.9750702099044
28.7214522863308,-82.7423377827915,-29.9368304893995
28.7215096968992,-82.7423441529834,-29.886528918883
28.7215225021595,-82.7423455665273,-29.8915178218186
28.7215352482216,-82.7423469815116,-29.8744997876531
28.7216374635046,-82.742358286299,-29.8157496586723
28.7216565684911,-82.7423604064236,-29.7799211701251
28.7216695731334,-82.7423618120373,-29.8534317373322
28.7216884471231,-82.7423639380364,-29.7323594419394
28.7216953911549,-82.7423646281435,-29.9299823061284
28.7217850540923,-82.7423745013964,-29.9312355769727
28.721804423499,-82.7423766121616,-29.9865758398487
28.7218042324091,-82.7423766175885,-29.9168208197952
28.7218493516919,-82.7423815440971,-30.0169459820558
28.7219003216429,-82.7423871915096,-29.9093637826763
28.7219131779726,-82.7423886000311,-29.9237927654112
28.721932589536,-82.7423907095752,-29.9905974048878
28.7219456785783,-82.742392111563,-30.089492056445
28.7219518265848,-82.742392823902,-29.9939503687354
28.722009480385,-82.7423991697424,-29.9796081618999
28.7220412733586,-82.7424027022894,-29.8848147385025
28.7220799866779,-82.7424069267962,-29.9737600353078
28.7221247855367,-82.7424118673553,-29.942375610111
28.7221633510055,-82.7424160989378,-29.9753845931751
28.7221955741298,-82.7424196239433,-30.0338900425147
28.7222019777297,-82.7424203302813,-30.0305057824427
28.7222078280877,-82.7424210523816,-29.82515559574
28.7222207578989,-82.7424224618301,-29.8630923118387
28.7222531728601,-82.7424259838178,-29.9908107874668
28.7222978554517,-82.7424309365634,-29.9152104859689
28.722304255792,-82.7424316437556,-29.9109101000095
28.7223105723132,-82.7424323535226,-29.8756662819
28.7223103380842,-82.7424323601746,-29.790163569994
28.7223236611573,-82.7424337602993,-29.9715749889411
28.7223298175315,-82.7424344748034,-29.8778840462767
28.7223488470182,-82.7424366027884,-29.8014046053402
28.7223555992705,-82.7424373006295,-29.9252608421725
28.7223683328827,-82.7424387184051,-29.8915960609188
28.7223743851794,-82.7424394363257,-29.7599712472672
28.7223746496297,-82.7424394288153,-29.8565058788277
28.7224195779985,-82.7424443834221,-29.8708367052105
28.7224391856673,-82.7424464977362,-30.0062995742106
28.7224389592245,-82.7424465041671,-29.923639128645
28.7224583524726,-82.7424486253642,-29.9806309779171
28.7225160365579,-82.7424550067415,-29.9726803139688
28.7225224679342,-82.7424557155641,-29.9798926714957
28.7225607747893,-82.7424599779678,-29.9214156732987
28.7225671512594,-82.7424606888877,-29.9087990265716
28.7225737723621,-82.7424613929374,-29.9855160342776
28.7226059447124,-82.7424649408538,-30.0289793793505
28.7226381780041,-82.7424684889964,-30.0955862835173
28.7226635983471,-82.7424712241804,-29.9625104630891
28.7226892421728,-82.7424740989157,-29.9796864009156
28.7226956517088,-82.7424748179028,-29.9833978488027
28.7227148439825,-82.7424769762041,-29.9818771367324
28.722804851856,-82.7424870438206,-30.1401976310605
28.7228429460351,-82.7424913751381,-30.0349697615095
28.7228491205771,-82.7424921019723,-29.9542212308782
28.7228875001654,-82.742496426548,-29.9547646471652
28.7229134716838,-82.7424992988275,-30.0971155309219
28.7229191516509,-82.7425000400879,-29.8358688622062
28.7229831816308,-82.742507247524,-29.8648861538894
28.7230024714975,-82.7425094075761,-29.9032368336859
28.7230088228288,-82.7425101297549,-29.8875019448092
28.7230408394035,-82.7425137328682,-29.9044773022783
28.7230536743098,-82.7425151732059,-29.9216404371032
28.7230858067505,-82.7425187722414,-29.9814887790194
28.7230918649571,-82.7425195024024,-29.859094929532
28.7230924797327,-82.7425194849436,-30.0835130530773
28.7231178965434,-82.7425223711502,-30.02741883572
28.7231623838429,-82.7425274206358,-29.9311559123493
28.7231881361664,-82.7425302954058,-29.997401488145
28.7232070582732,-82.7425324617934,-29.90450290902
28.7232330886958,-82.7425353268754,-30.0724484154655
28.7232392701296,-82.7425360521846,-29.995496686028
28.7232585598252,-82.7425382063271,-30.0371818364644
